anomalyID, srcIP, srcPort, dstIP, dstPort, taxonomy, heuristic, distance, nbDetectors, label
0,203.48.184.247,59993,126.169.197.230,52779,alphfl,-0.08638,3,suspicious
1,163.178.120.89,54429,72.238.251.63,443,salphfl,-0.279232,2,suspicious
2,23.170.185.149,,,,ntscICec,-0.08638,3,suspicious
3,195.46.197.214,45329,,123,ntscUDPOther,-0.08638,3,suspicious
4,163.178.111.194,60429,185.75.138.243,443,alphfl,-0.279232,2,suspicious
5,203.48.184.109,80,46.37.177.162,4994,salphfl,-0.279232,2,suspicious
6,163.178.127.83,,8.141.145.30,80,alphflHTTP,-0.389661,1,suspicious
7,139.88.213.41,,,,ntscICec,-0.08638,3,suspicious
8,23.147.107.29,,,,ntscICec,-0.08638,3,suspicious
9,54.128.196.69,,163.178.204.24,,mptmp,-0.05506,4,suspicious
9,54.128.196.69,,,80,mptmp,-0.05506,4,suspicious
9,54.128.196.69,,,443,mptmp,-0.05506,4,suspicious
9,,,163.178.204.24,443,mptmp,-0.05506,4,suspicious
9,199.46.212.105,,163.178.204.24,80,mptmp,-0.05506,4,suspicious
10,,,203.48.184.109,80,mptpHTTP,-0.279232,2,suspicious
11,202.66.105.206,5071,,5085,ntscUDPOther,-0.08638,3,suspicious
12,39.111.220.170,6000,,1433,ntscSYN,-0.279232,2,suspicious
13,42.149.90.37,,,,ntscICec,-0.279232,2,suspicious
14,155.80.42.143,,,,ntscICec,-0.08638,3,suspicious
15,23.172.65.80,,,,ntscICec,-0.08638,3,suspicious
16,50.115.80.183,,,,ntscICec,-0.08638,3,suspicious
17,183.165.45.138,,,445,ntscSYN139445,-0.08638,3,suspicious
18,175.199.251.43,,,23,ntscSYN,-0.08638,3,suspicious
19,27.168.22.51,,,445,ntscSYN139445,-0.08638,3,suspicious
20,159.73.91.88,,,,ntscICec,-0.08638,3,suspicious
21,113.146.102.32,,,23,ntscSYN,-0.279232,2,suspicious
22,125.181.93.17,,,445,ntscSYN139445,-0.08638,3,suspicious
23,181.217.164.19,,,445,ntscSYN139445,-0.08638,3,suspicious
24,139.88.175.4,,,,ntscICec,-0.08638,3,suspicious
25,207.217.177.210,,,,ntscICec,-0.08638,3,suspicious
26,191.156.58.28,,,,ntscICec,-0.08638,3,suspicious
27,198.81.170.242,,,,ntscICec,-0.08638,3,suspicious
28,,22,58.59.48.128,9090,mptp,-0.02828,4,suspicious
29,173.228.30.222,443,163.178.105.83,41652,alphfl,-0.16719,2,suspicious
30,,,0.0.0.0,,empty,-0.20219,1,suspicious
31,0.0.0.0,,,,empty,-0.20219,1,suspicious
32,,,163.178.158.55,,mptpla,-0.1352,2,suspicious
33,0.0.0.0,,,,empty,-0.15712,1,suspicious
34,,,0.0.0.0,,empty,-0.15712,1,suspicious
35,,,150.203.179.181,54756,mptp,-0.15266,2,suspicious
36,,,163.178.111.207,48979,ntscUDPUDPrp,-0.15266,2,suspicious
37,163.178.127.83,,8.141.145.21,80,alphflHTTP,-0.05996,3,suspicious
38,92.207.192.82,51381,,,ptmp,-0.15266,2,suspicious
39,185.241.27.56,54349,,8088,ntscSYN,-0.15266,2,suspicious
40,113.103.32.255,55430,,,ptmp,-0.15266,2,suspicious
41,107.42.6.186,,,7199,ntscSYN,-0.15266,2,suspicious
42,131.70.13.211,,121.50.201.38,,ptmplaHTTP,-0.250439,3,suspicious
42,131.70.13.211,,,444,ptmplaHTTP,-0.250439,3,suspicious
42,,,121.50.201.61,444,ptmplaHTTP,-0.250439,3,suspicious
42,,,121.50.201.38,80,ptmplaHTTP,-0.250439,3,suspicious
42,,,121.50.201.38,444,ptmplaHTTP,-0.250439,3,suspicious
42,131.70.13.211,,121.50.201.61,80,ptmplaHTTP,-0.250439,3,suspicious
43,,,203.48.176.63,53,ntscUDPUDPrp,-0.343293,2,suspicious
43,192.231.214.66,53,203.48.176.63,,ntscUDPUDPrp,-0.343293,2,suspicious
44,202.117.2.59,,,53,mptmp,-0.273762,3,suspicious
44,202.117.2.59,,,443,mptmp,-0.273762,3,suspicious
44,133.5.121.130,,,53,mptmp,-0.273762,3,suspicious
45,,,203.48.177.160,80,mptpHTTP,-0.343293,2,suspicious
46,163.178.58.154,,5.103.131.128,443,alphfl,-0.08165,3,suspicious
47,163.178.111.106,,54.32.157.196,443,ptmpla,-0.08165,3,suspicious
47,163.178.111.106,,54.35.108.77,443,ptmpla,-0.08165,3,suspicious
48,109.72.210.79,,203.48.184.159,5900,mptpla,-0.273762,3,suspicious
48,109.72.210.5,,203.48.184.159,5900,mptpla,-0.273762,3,suspicious
49,172.67.19.93,,203.48.187.157,443,alphfl,-0.162096,3,suspicious
50,139.88.0.248,,,3128,sntscSYN,-0.08165,3,suspicious
51,54.190.141.93,443,203.48.190.9,,alphfl,-0.08165,3,suspicious
52,54.35.108.77,443,163.178.111.106,,alphfl,-0.08165,3,suspicious
53,,80,163.178.127.35,,mptpHTTP,-0.08165,3,suspicious
54,,443,163.178.110.38,,mptp,-0.08165,3,suspicious
55,203.129.96.116,,199.1.1.92,,poscaUDP,-0.08165,3,suspicious
55,203.129.96.116,,,53,poscaUDP,-0.08165,3,suspicious
55,203.129.96.118,,199.1.1.92,,poscaUDP,-0.08165,3,suspicious
55,203.129.96.118,,,53,poscaUDP,-0.08165,3,suspicious
55,,,199.1.1.92,53,poscaUDP,-0.08165,3,suspicious
55,203.129.96.116,161,149.20.62.120,,poscaUDP,-0.08165,3,suspicious
55,203.129.96.118,161,149.20.62.120,,poscaUDP,-0.08165,3,suspicious
56,,443,163.178.111.213,,mptmp,-0.08165,3,suspicious
56,,443,163.178.150.93,,mptmp,-0.08165,3,suspicious
57,126.31.191.178,,163.178.94.238,,mptmp,-0.08165,3,suspicious
57,108.77.127.146,993,163.178.148.169,,mptmp,-0.08165,3,suspicious
58,185.211.32.214,42470,,,ptmp,-0.01386,4,suspicious
59,163.178.111.2,49416,91.194.214.128,80,mptplaHTTP,-0.08165,3,suspicious
59,163.178.111.2,49406,91.194.214.128,80,mptplaHTTP,-0.08165,3,suspicious
59,163.178.111.2,49400,91.194.214.128,80,mptplaHTTP,-0.08165,3,suspicious
59,203.48.181.38,9045,91.194.214.128,80,mptplaHTTP,-0.08165,3,suspicious
59,163.178.124.152,57179,91.194.214.128,80,mptplaHTTP,-0.08165,3,suspicious
60,203.48.177.117,,206.140.27.57,,ipv4gretun,0.24544,6,anomalous
60,203.48.177.117,,204.194.32.34,,ipv4gretun,0.24544,6,anomalous
61,,,133.28.101.136,23,mptp,0.30258,6,anomalous
62,,,79.240.75.69,,ntscUDPUDPICrp,0.25402,6,anomalous
63,,,203.48.187.144,80,mptpHTTP,0.39537,7,anomalous
64,109.182.18.189,80,,,mptmp,0.64735,10,anomalous
64,183.3.35.178,6000,,9090,mptmp,0.64735,10,anomalous
65,203.48.187.144,80,,,ptmpHTTP,0.32348,6,anomalous
66,64.249.190.9,,203.48.191.85,,poscaUDP,0.12401,3,anomalous
66,,53,203.48.191.85,,poscaUDP,0.12401,3,anomalous
66,64.249.190.9,53,203.48.191.83,,poscaUDP,0.12401,3,anomalous
66,64.249.190.9,53,203.48.191.84,,poscaUDP,0.12401,3,anomalous
67,,,181.217.164.225,,ntscTCPRSTACKrp,0.57097,9,anomalous
67,,,5.76.55.220,40641,ntscTCPRSTACKrp,0.57097,9,anomalous
67,,9090,183.3.35.178,6000,ntscTCPRSTACKrp,0.57097,9,anomalous
68,,,5.244.18.67,53505,ntscTCPRSTACKrp,0.17176,4,anomalous
69,,12345,185.124.176.138,,mptpla,0.14113,5,anomalous
70,82.149.191.28,,,80,ntscSYN,0.28741,7,anomalous
71,58.59.48.128,9090,,22,ntscSYN,0.72937,11,anomalous
72,113.105.36.69,44061,,22,ntscSYN,0.34815,7,anomalous
73,163.178.110.208,,202.68.151.161,443,alphfl,0.03982,3,anomalous
74,,,133.28.101.203,50348,mptp,0.03982,3,anomalous
75,203.48.176.63,,192.231.214.66,53,mptpla,0.03982,3,anomalous
75,203.48.181.51,,192.231.214.66,53,mptpla,0.03982,3,anomalous
75,203.48.181.50,,192.231.214.66,53,mptpla,0.03982,3,anomalous
76,,,133.28.101.171,50356,mptp,0.03982,3,anomalous
77,,,203.48.176.17,123,mptp,0.53167,9,anomalous
78,,53,202.124.159.204,,ntscUDPUDPrp,0.03982,3,anomalous
79,,53,163.178.255.157,,ntscUDPUDPrp,0.03982,3,anomalous
80,,,150.203.203.42,54748,mptp,0.03982,3,anomalous
81,,,150.203.203.53,54756,mptp,0.03982,3,anomalous
82,,,150.203.178.181,54756,mptp,0.04926,4,anomalous
83,,,133.28.103.75,50348,mptp,0.03982,3,anomalous
84,,,89.94.132.84,53,mptpHTTP,0.03982,3,anomalous
84,,,89.94.132.84,,mptpHTTP,0.03982,3,anomalous
85,,53,203.48.177.203,,icmp_error,0.03982,3,anomalous
85,,,203.48.177.203,,icmp_error,0.03982,3,anomalous
86,,,133.28.103.27,50356,mptp,0.03982,3,anomalous
87,174.137.98.7,,,53,mptmp,0.38746,8,anomalous
87,,,203.48.191.39,53,mptmp,0.38746,8,anomalous
88,,,150.203.202.244,54756,mptp,0.03982,3,anomalous
89,192.220.97.58,53,203.48.186.85,,ptpposcaUDP,0.09446,4,anomalous
90,185.169.228.243,65530,163.178.208.246,,poscaSYN,0.03982,3,anomalous
91,,,203.48.189.23,,mptmp,0.44707,7,anomalous
91,,,203.48.189.19,,mptmp,0.44707,7,anomalous
92,,,163.178.111.115,,mptmp,0.39034,6,anomalous
92,,443,,,mptmp,0.39034,6,anomalous
93,,443,150.203.51.106,,mptp,0.69443,10,anomalous
94,92.207.192.85,51381,,,mptmp,0.52098,9,anomalous
94,134.71.200.169,5442,,5060,mptmp,0.52098,9,anomalous
95,,443,202.117.2.2,,mptp,0.35421,7,anomalous
95,208.66.38.193,53,202.117.2.2,,mptp,0.35421,7,anomalous
96,203.48.189.23,,,,ptmp,0.39034,6,anomalous
97,,,150.203.202.228,54748,mptp,0.09446,4,anomalous
98,210.61.62.109,,163.178.160.18,53,mptpla,0.09446,4,anomalous
98,210.61.62.108,,163.178.160.18,53,mptpla,0.09446,4,anomalous
99,202.124.159.14,,,443,ptmp,0.07365,5,anomalous
100,98.148.139.249,,,5901,ntscSYN,0.64289,9,anomalous
101,,,203.48.180.9,8333,mptp,0.17176,4,anomalous
102,,443,163.178.16.248,,mptp,0.69106,10,anomalous
103,,443,163.178.109.205,,mptp,0.57815,10,anomalous
103,,,163.178.109.205,26881,mptp,0.57815,10,anomalous
104,,53,202.117.2.59,,mptp,0.75176,11,anomalous
104,,443,202.117.2.59,,mptp,0.75176,11,anomalous
105,,443,202.124.159.14,,mptp,0.75176,11,anomalous
106,,80,163.178.110.6,,mptp,0.40919,7,anomalous
106,,443,163.178.110.6,,mptp,0.40919,7,anomalous
107,,443,163.178.111.175,,mptp,0.14836,5,anomalous
108,,443,202.124.156.189,,mptpHTTP,0.00998,4,anomalous
108,23.223.60.109,80,202.124.156.189,,mptpHTTP,0.00998,4,anomalous
109,193.170.7.221,,,22,ntscSYN,0.15558,6,anomalous
110,,80,163.178.111.243,,mptpHTTP,0.14836,5,anomalous
110,,443,163.178.111.243,,mptpHTTP,0.14836,5,anomalous
111,,443,150.203.69.172,,mptp,0.45042,8,anomalous
112,172.213.105.255,443,,,ptmp,0.69106,10,anomalous
113,185.171.74.65,42745,,,mptmp,0.2109,6,anomalous
113,181.217.164.225,55713,,,mptmp,0.2109,6,anomalous
114,173.228.30.241,,163.178.121.130,,mptmp,0.24082,6,anomalous
114,173.228.30.241,443,,,mptmp,0.24082,6,anomalous
114,173.228.30.241,80,,,mptmp,0.24082,6,anomalous
114,188.221.192.168,443,163.178.121.130,,mptmp,0.24082,6,anomalous
114,188.221.192.168,80,163.178.121.130,,mptmp,0.24082,6,anomalous
115,,53,203.48.181.38,,mptmp,0.00998,4,anomalous
115,,443,203.48.181.38,,mptmp,0.00998,4,anomalous
115,,443,163.178.111.2,,mptmp,0.00998,4,anomalous
116,,443,163.178.109.160,,mptp,0.07365,5,anomalous
117,172.213.105.241,443,,,ptmp,0.53481,8,anomalous
118,,443,163.178.154.48,,mptp,0.34566,6,anomalous
119,79.240.75.69,,,5085,ntscUDPOther,0.72937,11,anomalous
119,159.185.104.92,41653,,1900,ntscUDPOther,0.72937,11,anomalous
120,203.48.191.38,,174.137.98.7,,mptmp,0.15447,5,anomalous
120,203.48.191.38,,192.157.55.149,,mptmp,0.15447,5,anomalous
120,203.48.191.38,53,,,mptmp,0.15447,5,anomalous
120,133.5.111.75,,174.137.98.7,,mptmp,0.15447,5,anomalous
120,133.5.111.75,,192.157.55.149,,mptmp,0.15447,5,anomalous
120,133.5.111.75,53,,,mptmp,0.15447,5,anomalous
120,,53,174.137.98.7,,mptmp,0.15447,5,anomalous
120,,53,192.157.55.149,,mptmp,0.15447,5,anomalous
